,id,e-mail
0,2128792,terri.chaffman@gmail.com
1,2128794,eldorados1@hotmail.com
2,2128802,lenaespencer.latc@yahoo.com
3,2128826,ljslondon@jrscorbin.com
4,2128855,eew.losohio@gmail.com
5,2128856,tthebrickllc@columbus.rr.com
6,2128857,cappyslondon@gmail.com
7,2128863,unit.0494@bobevans.com
8,2128888,info@angussteakhouse.co.uk
9,3561362,lgrg@ldry.com
10,3561371,support@tasteoftexas.com
11,3561374,info@rusconiskitchen.com
12,3561376,guestservices@steak44.com
13,3561377,contactus@phoeniciafoods.com
14,3561379,info@mezzagrillehouston.com
15,3561382,office@cheesyeddies.com
16,3561383,billy@hallschophouse.com
17,3561386,media@pomopizzeria.com
18,3561388,info@cafemonarch.com
19,3561391,contact@paiafishmarket.com
20,3561396,qkenan.restaurant@gmail.com
21,3561397,thatsamoregelato@gmail.com
22,3561398,houstoncitycentre@eddiev.com
23,3561399,info@breakerbrewingcompany.com
24,3561400,coloradospringsco@meltingpotfranchise.com
25,3561404,info@premierehotel.com
26,3561405,info@savoiapastry.com
27,3561410,contact@lima-restaurant.com
28,3561411,psi@petershieldsinn.com
29,3561415,customercare@martinsrestaurants.com
30,3561417,lfischer@rochester.rr.com
31,3561418,info@chathamsplace.com
32,3561419,contact@jenis.com
33,3561420,tkb.msippel@gmail.com
34,3561427,christie@normans.com
35,3561429,ourproject@dolce-salato.net
36,3561430,cafetoscana@ptd.net
37,3561431,elpescadorfishmarket@gmail.com
38,3561432,doug.blackdiamond@gmail.com
39,3561433,catering@sanchezbistro.com
40,3561436,hipokebar@gmail.com
41,3561438,tnmonells@comcast.net
42,3561441,unionpark@gmail.com
43,3561443,reservations@binkleysrestaurant.com
44,3561444,letcrackersknow@crackerscafe.com
45,3561445,houston@tcgdine.com
46,3561446,info@purpleroompalmsprings.com
47,3561447,info@etchrestaurant.com
48,3561452,drphillips@bosphorousrestaurant.com
49,3561455,charlestongrill.cph@belmond.com
50,3561457,info@essencerestaurants.com
51,3561459,info.lajolla@thecottagerestaurant.com
52,3561461,contact@butterfieldsrestaurant.com
53,3561463,info@bosphorousrestaurant.com
54,3561465,info@slimandhuskys.com
55,3561466,phoenix@tcgdine.com
56,3561467,john@joshandjohns.com
57,3561469,info@revivalchs.com
58,3561470,info@antoinessarasota.com
59,3561474,scottsdale@rehabburgertherapy.com
60,3561476,info@leosrestaurant.com
61,3561477,info@steakshackhawaii.com
62,3561479,monikabokelmann@hotmail.com
63,3561480,info@fivepointspizza.com
64,3561481,info@nine-ten.com
